Entry DateTime,Exit DateTime,Symbol,Type,Qty,Net P/L,Fees,MAE,MFE
2026-01-05 10:41:00,2026-01-05 11:21:00,MNQ,Buy,3,($151.57),$3.72,($180.29),$59.94
2026-01-05 12:24:00,2026-01-05 13:22:00,MES,Buy,2,($39.05),$2.48,($66.89),$14.37
2026-01-05 09:38:00,2026-01-05 10:19:00,MES,Buy,3,$196.59,$3.72,($42.42),$216.10
2026-01-05 13:01:00,2026-01-05 13:35:00,MNQ,Buy,2,$48.77,$2.48,($54.19),$56.36
2026-01-06 10:40:00,2026-01-06 11:52:00,MNQ,Buy,1,$81.17,$1.24,($37.69),$86.03
2026-01-07 11:01:00,2026-01-07 11:53:00,MNQ,Buy,2,$18.08,$2.48,($33.79),$70.98
2026-01-07 11:50:00,2026-01-07 12:45:00,MNQ,Buy,1,$15.08,$1.24,($10.72),$48.26
2026-01-07 09:07:00,2026-01-07 09:58:00,MES,Sell,2,($52.24),$2.48,($72.27),$44.39
2026-01-07 10:31:00,2026-01-07 11:52:00,MNQ,Sell,2,$92.56,$2.48,($27.07),$97.50
2026-01-08 13:02:00,2026-01-08 13:47:00,MNQ,Sell,3,($231.96),$3.72,($255.92),$20.94
2026-01-08 12:01:00,2026-01-08 12:20:00,MNQ,Sell,2,($96.88),$2.48,($132.79),$97.32
2026-01-09 12:17:00,2026-01-09 12:55:00,MNQ,Buy,1,$130.78,$1.24,($15.08),$150.64
2026-01-12 09:58:00,2026-01-12 10:02:00,MES,Buy,2,$348.11,$2.48,($41.85),$349.28
2026-01-12 12:24:00,2026-01-12 13:49:00,MNQ,Buy,1,$103.69,$1.24,($25.09),$106.98
2026-01-13 11:47:00,2026-01-13 12:53:00,MES,Buy,3,($45.97),$3.72,($59.61),$12.13
2026-01-13 13:18:00,2026-01-13 13:47:00,MES,Buy,2,$57.37,$2.48,($18.53),$63.85
2026-01-14 12:43:00,2026-01-14 14:03:00,MES,Buy,2,($65.48),$2.48,($107.82),$34.40
2026-01-14 10:04:00,2026-01-14 11:29:00,MNQ,Sell,1,$36.58,$1.24,($8.32),$86.80
2026-01-14 10:59:00,2026-01-14 11:45:00,MNQ,Buy,1,$79.32,$1.24,($27.87),$86.40
2026-01-15 08:37:00,2026-01-15 09:41:00,MES,Buy,2,($61.41),$2.48,($126.90),$82.24
2026-01-15 09:07:00,2026-01-15 10:33:00,MNQ,Sell,3,($51.32),$3.72,($87.09),$114.87
2026-01-16 10:50:00,2026-01-16 11:47:00,MNQ,Buy,3,($78.93),$3.72,($103.92),$17.08
2026-01-16 13:07:00,2026-01-16 13:46:00,MNQ,Sell,1,$14.88,$1.24,($112.20),$22.47
2026-01-16 10:46:00,2026-01-16 11:19:00,MES,Buy,1,$86.55,$1.24,($20.14),$92.12
2026-01-20 08:46:00,2026-01-20 09:25:00,MNQ,Buy,2,$104.17,$2.48,($13.70),$130.79
2026-01-20 11:42:00,2026-01-20 12:34:00,MNQ,Buy,1,($16.60),$1.24,($53.45),$2.87
2026-01-20 10:22:00,2026-01-20 11:34:00,MES,Sell,3,($143.16),$3.72,($169.62),$33.48
2026-01-20 12:40:00,2026-01-20 13:22:00,MNQ,Sell,1,$8.16,$1.24,($105.09),$67.42
2026-01-20 09:49:00,2026-01-20 10:29:00,MNQ,Buy,2,($139.57),$2.48,($213.48),$106.15
2026-01-21 11:09:00,2026-01-21 12:18:00,MNQ,Sell,2,$173.67,$2.48,($31.11),$228.17
2026-01-21 11:24:00,2026-01-21 11:33:00,MES,Buy,3,($369.43),$3.72,($383.50),$30.06
2026-01-21 13:17:00,2026-01-21 13:23:00,MNQ,Buy,1,($71.02),$1.24,($109.20),$41.83
2026-01-22 13:09:00,2026-01-22 14:25:00,MNQ,Buy,1,($82.94),$1.24,($140.06),$35.92
2026-01-23 10:19:00,2026-01-23 11:07:00,MNQ,Buy,1,($17.59),$1.24,($107.84),$12.12
2026-01-23 11:33:00,2026-01-23 12:17:00,MNQ,Sell,1,($68.45),$1.24,($92.42),$97.47
2026-01-23 12:05:00,2026-01-23 12:54:00,MNQ,Sell,1,$10.09,$1.24,($42.72),$47.37
2026-01-23 10:27:00,2026-01-23 11:56:00,MES,Buy,3,$166.64,$3.72,($35.80),$180.62
2026-01-26 12:32:00,2026-01-26 12:51:00,MES,Sell,3,$268.50,$3.72,($6.30),$269.14
2026-01-26 08:40:00,2026-01-26 09:40:00,MES,Sell,3,($332.92),$3.72,($345.85),$26.60
2026-01-26 11:14:00,2026-01-26 12:11:00,MES,Buy,3,$112.13,$3.72,($104.68),$153.24
2026-01-26 12:10:00,2026-01-26 12:12:00,MES,Sell,1,$30.04,$1.24,($8.77),$72.35
2026-01-26 12:51:00,2026-01-26 13:43:00,MNQ,Sell,2,($190.24),$2.48,($261.04),$25.77
2026-01-27 09:08:00,2026-01-27 09:20:00,MNQ,Buy,1,$64.04,$1.24,($38.49),$67.90
